target_initial_acceptance,outside_utility,calibrated_initial_acceptance,calibration_users,calibration_seed,candidate_seed
0.1,6.5260239864248515,0.09999999999999991,500,20351720,20352720
0.2,5.713364208471231,0.19999999999999685,500,20351720,20352720
0.4,4.729528196444637,0.3999999999999971,500,20351720,20352720
