horizon,update_regime,scenario,estimate,ci_low,ci_high,relative_ratio_percent,share_gap_pp_estimate,share_gap_pp_ci_low,share_gap_pp_ci_high,n
6,event_online,ai_appreciation,-0.009436913487333283,-0.015565088218032857,-0.0029774038404467703,-0.9392525557337248,-0.3101104940600854,-0.5156307077816267,-0.10254829618693515,50
6,event_online,moderate_asymmetric,0.018428627367215736,0.008823748299538149,0.027370386073867672,1.859948244829861,0.6079975372563192,0.3126747835347619,0.8858943179562926,50
6,event_online,strong_premium_penalty,0.03058565480315148,0.01958691215871278,0.040703318043924235,3.105820135385781,1.010048284840572,0.6345136270457864,1.333611821520249,50
6,event_online,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,ai_appreciation,-0.005296784746607851,-0.011310842818663683,0.0010646000371240774,-0.5282781517221807,-0.17517764194893687,-0.3715739033863525,0.031112847125525745,50
6,fixed_budget_history_replay,moderate_asymmetric,0.01150637582143999,0.004281234621056544,0.020298270807952556,1.1572828796767842,0.38036029689620376,0.12984417861094336,0.6840153993316956,50
6,fixed_budget_history_replay,strong_premium_penalty,0.021632477088895485,0.012807341469276255,0.030495421310770172,2.1868155489267607,0.7154081930956157,0.435456181862257,1.0376224451143254,50
6,fixed_budget_history_replay,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
12,event_online,ai_appreciation,-0.018297097176994122,-0.030101185271969564,-0.007495176239199153,-1.8130721569986317,-0.6043851225796176,-1.027398775677007,-0.23431170426033707,50
12,event_online,moderate_asymmetric,0.03661869755019886,0.019356515989275132,0.05073804124059883,3.729742137348552,1.2097058213881289,0.6102849123311254,1.6688336784151603,50
12,event_online,strong_premium_penalty,0.0650222121555913,0.046675537091606836,0.081043970614848,6.718272854974224,2.1535117781941753,1.5135136968425098,2.7056155458604034,50
12,event_online,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
12,fixed_budget_history_replay,ai_appreciation,-0.012661517188809746,-0.024856564086681916,0.0006609363392371081,-1.258169741501158,-0.41620585393608855,-0.8225645688401952,0.012843751529123945,50
12,fixed_budget_history_replay,moderate_asymmetric,0.024658653143305224,0.009656760631518576,0.040323527685171896,2.496519215778795,0.818802756318917,0.2804551394899321,1.2902640717839304,50
12,fixed_budget_history_replay,strong_premium_penalty,0.04093769855997754,0.02333599467272224,0.057452891981828076,4.178719868093019,1.3594681378739,0.7731715615143437,1.9285624033070201,50
12,fixed_budget_history_replay,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
24,event_online,ai_appreciation,-0.0308785072580165,-0.048604813824331725,-0.0137907421553137,-3.040663552305977,-1.0308561805400829,-1.617450075858691,-0.4779105512278979,50
24,event_online,moderate_asymmetric,0.06263043361902751,0.03338465733713581,0.08868801289042487,6.463331383804884,2.0711191678422005,1.1345421897628394,2.9482318036369115,50
24,event_online,strong_premium_penalty,0.12059261084638394,0.0976971736213507,0.14490040762598524,12.816521646346505,4.010656478575591,3.2103626301061228,4.789573860745274,50
24,event_online,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
24,fixed_budget_history_replay,ai_appreciation,-0.020090940470978973,-0.03442415714499101,-0.007452099724616373,-1.9890462369166573,-0.660182841851049,-1.1165782416994143,-0.25540875968224436,50
24,fixed_budget_history_replay,moderate_asymmetric,0.045916720006424,0.02833459806147327,0.06654260739570442,4.698721423764061,1.522833706885373,0.9339269640649608,2.182920216702712,50
24,fixed_budget_history_replay,strong_premium_penalty,0.07385284491724048,0.05361992502021493,0.08926366865913032,7.664835955998943,2.463357277530078,1.7638975387189069,3.0204967393483364,50
24,fixed_budget_history_replay,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
