dim,layers,lr,reg,trial,best_epoch,sampled_NDCG20,exact_NDCG20
32,1,0.01,0.0001,0,8,0.0556553390220395,
32,2,0.01,0.0001,1,8,0.1027123894510391,0.003499139417513982
32,2,0.005,0.0001,2,8,0.0706696694873902,
32,2,0.01,1e-05,3,8,0.1052215424542644,0.002650727036575615
