horizon,update_regime,estimate,ci_low,ci_high,equivalence_margin,equivalent_by_95_percent_interval,n
6,event_online,-0.002653898592001013,-0.012672504900063808,0.009391408633129655,0.02,True,50
6,fixed_budget_history_replay,-0.003595824864310987,-0.017846363379890935,0.008023829828482666,0.02,True,50
12,event_online,-0.004263533523563329,-0.019086264814584444,0.00966582127773416,0.02,True,50
12,fixed_budget_history_replay,-0.00040045591816087575,-0.015349129404513794,0.013100420481962305,0.02,True,50
24,event_online,-0.0011509055954023828,-0.024620968263608527,0.01825488365849849,0.02,False,50
24,fixed_budget_history_replay,0.0010119099003600912,-0.02030539530535336,0.02128136025111905,0.02,False,50
