horizon,update_regime,round,scenario,estimate,ci_low,ci_high,relative_ratio_percent,n
6,event_online,1,ai_appreciation,0.0,0.0,0.0,0.0,50
6,event_online,1,moderate_asymmetric,0.0,0.0,0.0,0.0,50
6,event_online,1,strong_premium_penalty,0.0,0.0,0.0,0.0,50
6,event_online,1,zero,0.0,0.0,0.0,0.0,50
6,event_online,2,ai_appreciation,-0.0016117241917752744,-0.003798406847356174,0.0002641074916320717,-0.16104260618428956,50
6,event_online,2,moderate_asymmetric,0.004318969297924396,0.002022277667897619,0.007110279272901123,0.43283094876457806,50
6,event_online,2,strong_premium_penalty,0.0070701411595263065,0.004934039635529191,0.0091920552780699,0.7095193614195411,50
6,event_online,2,zero,0.0,0.0,0.0,0.0,50
6,event_online,3,ai_appreciation,-0.0030126835373160887,-0.00589405568903449,-2.4844353647986785e-05,-0.3008149960155275,50
6,event_online,3,moderate_asymmetric,0.008579467718672,0.0057923798407550605,0.012584886954317658,0.8616376829839921,50
6,event_online,3,strong_premium_penalty,0.013883511066081919,0.009351535178274807,0.019081097284087162,1.3980334570347066,50
6,event_online,3,zero,0.0,0.0,0.0,0.0,50
6,event_online,4,ai_appreciation,-0.005157027624330995,-0.008900640249177763,-0.0011004846082951268,-0.5143752986400016,50
6,event_online,4,moderate_asymmetric,0.011676120060959179,0.007053251455373013,0.017182754269315228,1.1744552031412838,50
6,event_online,4,strong_premium_penalty,0.019217231070942798,0.01210802557063589,0.02693211416780407,1.9403070587417526,50
6,event_online,4,zero,0.0,0.0,0.0,0.0,50
6,event_online,5,ai_appreciation,-0.007630607147054905,-0.013007393391404982,-0.0024208145666640046,-0.7601567973457622,50
6,event_online,5,moderate_asymmetric,0.015046286563409693,0.008372065499132813,0.022020488652459355,1.516005179838154,50
6,event_online,5,strong_premium_penalty,0.024665369138110474,0.0153535173801258,0.03375576564721764,2.497207584180941,50
6,event_online,5,zero,0.0,0.0,0.0,0.0,50
6,event_online,6,ai_appreciation,-0.009436913487333283,-0.015641896981131574,-0.0027058438320992483,-0.9392525557337248,50
6,event_online,6,moderate_asymmetric,0.018428627367215736,0.009863508150914066,0.026959908353300685,1.859948244829861,50
6,event_online,6,strong_premium_penalty,0.03058565480315148,0.019449083569423913,0.04064441161405809,3.105820135385781,50
6,event_online,6,zero,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,1,ai_appreciation,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,1,moderate_asymmetric,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,1,strong_premium_penalty,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,1,zero,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,2,ai_appreciation,-0.0013229343422125615,-0.002645896309405313,-9.254435369607243e-05,-0.13220596503381515,50
6,fixed_budget_history_replay,2,moderate_asymmetric,0.003313650993353835,0.0012744399207733547,0.0061096937393800245,0.3319147203971212,50
6,fixed_budget_history_replay,2,strong_premium_penalty,0.0050328681360661195,0.003265119636519134,0.007026206184690399,0.5045554290555505,50
6,fixed_budget_history_replay,2,zero,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,3,ai_appreciation,-0.0025209435724290697,-0.00530540177519984,0.00027529482481271616,-0.2517768662664551,50
6,fixed_budget_history_replay,3,moderate_asymmetric,0.005279623625286036,0.0025661940713775323,0.008571157706419367,0.5293585398252918,50
6,fixed_budget_history_replay,3,strong_premium_penalty,0.008991619494473406,0.005063865407101632,0.012516525402970624,0.9032165538794292,50
6,fixed_budget_history_replay,3,zero,0.0,0.0,0.0,0.0,50
6,fixed_budget_history_replay,4,ai_appreciation,-0.003194861981359165,-0.007056797692170152,0.0009415934738722724,-0.3189763840549791,50
6,fixed_budget_history_replay,4,moderate_asymmetric,0.007178908465712102,0.0036113067824751497,0.012120109102335432,0.7204738602826153,50
