candidate_size,scenario,estimate,ci_low,ci_high,n
240,ai_appreciation,-0.0086577571106287,-0.014727421182331,-0.0033323350370157,50
240,moderate_asymmetric,0.0157783790996268,0.0095785623476828,0.0210199634024004,50
240,strong_premium_penalty,0.0336023375680382,0.0231432600578326,0.0437495608919579,50
240,zero,0.0,0.0,0.0,50
500,ai_appreciation,-0.0059497842494852,-0.0125722611266145,0.0007146204249743,50
500,moderate_asymmetric,0.0165209411267523,0.0085376980087026,0.0255318852631724,50
500,strong_premium_penalty,0.034703370264207,0.0263703938168331,0.0438755179386971,50
500,zero,0.0,0.0,0.0,50
1000,ai_appreciation,-0.0064661194876746,-0.0135812369547171,0.000297900114107,50
1000,moderate_asymmetric,0.0173369063370794,0.0073487160447802,0.0267423376873274,50
1000,strong_premium_penalty,0.0334758787355479,0.0230293367222917,0.0429893946187688,50
1000,zero,0.0,0.0,0.0,50
