candidate_size,scenario,estimate,ci_low,ci_high,n
240,ai_appreciation,-0.008657757110628708,-0.014386969991117325,-0.0035023840720138253,50
240,moderate_asymmetric,0.015778379099626826,0.009663882743780258,0.021315996887095085,50
240,strong_premium_penalty,0.03360233756803828,0.02261360328963033,0.04528367174924582,50
240,zero,0.0,0.0,0.0,50
500,ai_appreciation,-0.005949784249485299,-0.012572261126614569,0.000714620424974372,50
500,moderate_asymmetric,0.016520941126752377,0.008537698008702643,0.02553188526317241,50
500,strong_premium_penalty,0.03470337026420707,0.02637039381683318,0.04387551793869713,50
500,zero,0.0,0.0,0.0,50
1000,ai_appreciation,-0.006466119487674648,-0.013581236954717125,0.00029790011410707294,50
1000,moderate_asymmetric,0.017336906337079433,0.007348716044780272,0.026742337687327495,50
1000,strong_premium_penalty,0.03347587873554796,0.023029336722291786,0.04298939461876887,50
1000,zero,0.0,0.0,0.0,50
