target_initial_acceptance,outside_utility,scenario,metric,estimate,ci_low,ci_high,actual_acceptance_rate,mean_cumulative_acceptances
0.1,6.526023986424852,ai_appreciation,LMC,-0.0012804984980726469,-0.005888258671361922,0.003360464037072278,0.10136666666666663,91.23
0.1,6.526023986424852,moderate_asymmetric,LMC,-0.00024075116199775252,-0.005433927128481887,0.003301261214196543,0.09163333333333329,82.47
0.1,6.526023986424852,strong_premium_penalty,LMC,0.0017960984168284282,-0.002694955750850523,0.004864578324920344,0.09401111111111109,84.61
0.1,6.526023986424852,zero,zero_branch_difference,0.002359093842861166,-0.001887224578415913,0.007483414258682822,0.0957222222222222,86.15
0.2,5.713364208471231,ai_appreciation,LMC,-0.001339660187141811,-0.004840745805874314,0.002568046365464581,0.19978888888888874,179.81
0.2,5.713364208471231,moderate_asymmetric,LMC,0.0026756362279734946,-0.00118499608093677,0.007247546879245947,0.18681111111111115,168.13
0.2,5.713364208471231,strong_premium_penalty,LMC,0.005801452440074291,0.0018526237845369882,0.009878392032114302,0.19078888888888887,171.71
0.2,5.713364208471231,zero,zero_branch_difference,0.0010809244223201453,-0.006000547307846601,0.007603317836574942,0.1933888888888888,174.05
0.4,4.729528196444637,ai_appreciation,LMC,-0.0024343968107714948,-0.009409662842467234,0.005069176063439993,0.40752222222222223,366.77
0.4,4.729528196444637,moderate_asymmetric,LMC,0.00723303871207301,0.00047747795850760165,0.01372735687397068,0.38383333333333325,345.45
0.4,4.729528196444637,strong_premium_penalty,LMC,0.012422991514721132,0.004964589706005762,0.020270555367571753,0.39034444444444444,351.31
0.4,4.729528196444637,zero,zero_branch_difference,0.0008476590936918747,-0.0074451529797046785,0.009643594209133575,0.39488888888888884,355.4
