seed,objective,max_standardized_mean_difference,max_theme_TV,max_model_exposure_deviation,MostPop_HA_gap,BPR_HA_gap,LightGCN_HA_gap
20272040,0.2396520098966669,0.031001073037955802,0.03619607319353546,0.05145227568946931,-0.07033330312137515,-0.030702838825330585,-0.021247793203262526
20271892,0.24352422682948943,0.013759065188838349,0.033484501683831276,0.05984613637163472,0.07655998931366095,-0.05123824285332917,0.04408339282602653
20271774,0.2471201332388499,0.016467215802427687,0.03132095632429545,0.06122382764999301,0.10674883633990634,-0.015788043792801472,0.028542555548560195
20272119,0.24757717846542018,0.017840174321227316,0.03301688201675335,0.06007056037302094,0.08197067572626397,-0.0626059370231975,-0.04282166225811256
20271747,0.252016622195903,0.02586555207240714,0.03776757174873843,0.05649990416679607,-0.07078785687012273,-0.02110864119642441,-0.008850957865816253
20272189,0.2744751714598168,0.017414823935547198,0.03776197495804079,0.06680579502906947,0.11674187386633486,0.04029905804234109,0.018017177929282407
20271876,0.27463942272275227,0.02234020465273439,0.03642946605501847,0.06588500632916339,-0.11549024331401936,0.004029117304425933,0.010762574582333284
20272058,0.2991928894117053,0.011867087160323177,0.03409087716426894,0.07872982883499291,-0.0468305048383426,-0.039777226659992275,-0.0022993448209696907
20271722,0.3063700590005408,0.024424973123248112,0.0335247762788834,0.07721930715298919,-0.034512746247459196,0.05508267973575066,-0.034050127942409435
20272212,0.3075800143522608,0.01720103080919576,0.03165486843862694,0.08096556029504154,-0.1357254240183775,-0.0003568979978355301,-0.03393926772564528
20271809,0.3165590687992561,0.01571057697128444,0.036030234264712156,0.08226771347696782,0.11535858916290972,-0.03486720048757492,0.015103317146209218
20271868,0.32961583091780733,0.027285562500423688,0.03521865947720623,0.08316742640052477,-0.03310721436740951,0.07716858483089817,-0.02678713738793819
20272079,0.3372903997981581,0.023353156477918212,0.032832005080369694,0.08822974523322846,-0.04349223219516446,0.030464324875636335,-0.0018243644238261378
20271986,0.34144611756779797,0.021819270491078253,0.03228652535847892,0.09039901967966713,0.09338118696737709,0.011636423798427708,0.04309644675425639
20272208,0.34208092357415393,0.018277869866333202,0.03255820383600913,0.09165524931793567,0.1407482805266455,-0.07584465334771878,-0.03108411402214625
20271791,0.34490224656730595,0.020027304231290274,0.0349610956152601,0.0908110996377085,-0.1536744282779325,-0.016765573123523808,0.01177881464754105
20271819,0.34827043115911993,0.02368105642142759,0.03589601385863489,0.09024845131657999,-0.08542288025732722,0.0047865222429558,-0.004402620045188263
20271929,0.35428391418024013,0.012217938286890918,0.03439294777614533,0.09682551807637707,0.18057426512647884,0.02053899754478467,-0.0014318175018095927
20272176,0.3579462504725908,0.02490996510887299,0.03445973019901163,0.09378223002173347,0.16201053814727973,0.12206221050413453,-0.0570304899995983
20271764,0.3631101348423976,0.014809556330606308,0.03942918086397056,0.09638560240527849,0.1027852321458751,-0.04244799926562513,-0.006422561328211112
20272112,0.36312691172578054,0.02210891960589902,0.03429163471553253,0.09652684668219425,-0.07122801724148048,-0.06172330675978948,0.0010652137968917192
20271760,0.36896891453928116,0.016582649540061396,0.03348949642931443,0.10071734011841604,-0.13601624851160374,0.02471125001830228,-0.020497406282100977
20272062,0.38132932438384237,0.01902105902319396,0.034430136332023915,0.10355435362087084,-0.19046992024364895,0.00952134196926389,0.020103074147489727
