seed,objective,max_standardized_mean_difference,max_theme_TV,max_model_exposure_deviation,MostPop_HA_gap,BPR_HA_gap,LightGCN_HA_gap
20271722,0.3063700590005408,0.0244249731232481,0.0335247762788834,0.0772193071529891,-0.0345127462474591,0.0550826797357506,-0.0340501279424094
20271764,0.3631101348423976,0.0148095563306063,0.0394291808639705,0.0963856024052784,0.1027852321458751,-0.0424479992656251,-0.0064225613282111
20271791,0.3449022465673059,0.0200273042312902,0.0349610956152601,0.0908110996377085,-0.1536744282779325,-0.0167655731235238,0.011778814647541
20271819,0.3482704311591199,0.0236810564214275,0.0358960138586348,0.0902484513165799,-0.0854228802573272,0.0047865222429558,-0.0044026200451882
20271876,0.2746394227227522,0.0223402046527343,0.0364294660550184,0.0658850063291633,-0.1154902433140193,0.0040291173044259,0.0107625745823332
20271986,0.3414461175677979,0.0218192704910782,0.0322865253584789,0.0903990196796671,0.093381186967377,0.0116364237984277,0.0430964467542563
20272058,0.2991928894117053,0.0118670871603231,0.0340908771642689,0.0787298288349929,-0.0468305048383426,-0.0397772266599922,-0.0022993448209696
20272112,0.3631269117257805,0.022108919605899,0.0342916347155325,0.0965268466821942,-0.0712280172414804,-0.0617233067597894,0.0010652137968917
20272176,0.3579462504725908,0.0249099651088729,0.0344597301990116,0.0937822300217334,0.1620105381472797,0.1220622105041345,-0.0570304899995983
20272212,0.3075800143522608,0.0172010308091957,0.0316548684386269,0.0809655602950415,-0.1357254240183775,-0.0003568979978355,-0.0339392677256452
