scenario,intervention,AA_estimate,AA_ci_low,AA_ci_high,AA_n,delta_abs_D_estimate,delta_abs_D_ci_low,delta_abs_D_ci_high,delta_exposure_tv_estimate,delta_exposure_tv_ci_low,delta_exposure_tv_ci_high,delta_ctr_estimate,delta_ctr_ci_low,delta_ctr_ci_high,delta_candidate_anchored_utility_estimate,delta_candidate_anchored_utility_ci_low,delta_candidate_anchored_utility_ci_high,delta_coverage_estimate,delta_coverage_ci_low,delta_coverage_ci_high,delta_gini_estimate,delta_gini_ci_low,delta_gini_ci_high,mean_abs_D,mean_exposure_tv,mean_ctr,mean_candidate_anchored_utility,mean_coverage,mean_gini
moderate_asymmetric,combined,3.273375973803796e-05,-0.0016357628358233962,0.0017695621387862532,500,-0.05665894236590241,-0.08202704192870021,-0.03398618773225176,-0.012563203527906009,-0.01821000422685545,-0.007591397326143856,-0.00019777777777778228,-0.0003977777777777827,-3.111111111111278e-05,-0.004315898225649633,-0.004748400195506845,-0.0038901291189565074,0.0012645192885604227,0.0011235135676602199,0.0014129132070431615,-0.00026058854349543027,-0.0003106311396793064,-0.00020712258855423276,0.03712036962036108,0.009536271391902065,0.9767866666666665,1.038368383374304,0.031037775749615956,0.9878995917702387
moderate_asymmetric,none,0.014933671409202657,0.011681311582412967,0.01822764080277658,500,,,,,,,,,,,,,,,,,,,0.09377931198626349,0.022099474919808074,0.9769844444444443,1.0426842815999535,0.02977325646105554,0.9881601803137341
moderate_asymmetric,oracle_feedback_correction,0.0006395081425578921,-0.002750860391195948,0.0038916527107322432,500,-0.0002825869764503609,-0.008800043726111352,0.00824382842754935,-0.00018832383024024096,-0.0014955602879439386,0.0011368341467328663,-4.444444444441586e-06,-7.555555555554427e-05,6.22222222222275e-05,-5.162154803994445e-05,-0.00016274980431525596,6.463104381290666e-05,1.2109609776726719e-05,-3.067582307503933e-05,5.547492375842708e-05,-2.076054702764507e-06,-1.2097904921467484e-05,9.089840282507324e-06,0.09349672500981314,0.02191115108956783,0.9769799999999997,1.0426326600519138,0.02978536607083226,0.9881581042590314
moderate_asymmetric,quota_reranking,0.0066856971335070995,0.0050398501032912655,0.008428897261081241,500,-0.055742926455502474,-0.07904829754605047,-0.034762465903014364,-0.012353888194100441,-0.01785489035589092,-0.007655127355555927,-0.0001888888888888931,-0.0003845000000000291,-2.22222222222228e-05,-0.004257841041616423,-0.00473582539784009,-0.0038120893845326556,0.0012677247735013264,0.0011203503773122914,0.0014146027647307614,-0.00026550167168025516,-0.0003164152476215835,-0.00021072427547480667,0.03803638553076101,0.009745586725707632,0.9767955555555554,1.0384264405583372,0.03104098123455686,0.9878946786420538
strong_premium_penalty,combined,-0.00014651001641893772,-0.0019442364061579133,0.0016217996971128227,500,-0.05645226376114329,-0.08137444918361118,-0.03434340239025255,-0.012591887222124001,-0.018267035920601474,-0.00775424450334747,-0.00014444444444444793,-0.0003666666666666602,5.9999999999996796e-05,-0.004437570206434771,-0.004974973570729416,-0.0038594657477285985,0.001302050174743449,0.0011669746009839047,0.0014496438350065691,-0.0002675101365889063,-0.0003201815080470143,-0.0002150737381142823,0.03717533252392583,0.009418785968601635,0.9775088888888888,1.0382477846965854,0.031066669634708225,0.9878966934866409
strong_premium_penalty,none,0.02886565187408185,0.02422355655067697,0.03387051035425779,500,,,,,,,,,,,,,,,,,,,0.09362759628506913,0.02201067319072564,0.9776533333333332,1.0426853549030202,0.029764619459964777,0.9881642036232297
strong_premium_penalty,oracle_feedback_correction,0.0007438583984242508,-0.0030031681449725076,0.004456246952519433,500,0.0008340157828464627,-0.015447592337401428,0.01787406071821201,0.00014233747129742497,-0.0022869921758027372,0.0027007872166612493,-4.888888888889031e-05,-0.00016222222222222408,5.555555555555008e-05,-8.581703193279289e-05,-0.00022605557865818896,4.93769375953743e-05,3.281170002003482e-05,-8.281949112921784e-06,7.417135988246902e-05,-2.746247361231191e-06,-1.399290054889598e-05,7.754835235549015e-06,0.09446161206791559,0.022153010662023066,0.9776044444444444,1.0425995378710873,0.02979743115998481,0.9881614573758686
strong_premium_penalty,quota_reranking,0.013242752203609506,0.011072924550728133,0.01584712372111335,500,-0.056100504211375524,-0.07630303688348442,-0.03691421845408729,-0.012443584358760666,-0.01755327462751417,-0.008138734301885912,-0.00014888888888889263,-0.0003733333333333424,5.56111111111137e-05,-0.0041858231650009434,-0.0047303804152244245,-0.0035885569276614374,0.0012823275382320865,0.0011556496672083365,0.0014388620528459734,-0.0002653932793185185,-0.0003176464063360301,-0.00021567770545414798,0.03752709207369361,0.009567088831964972,0.9775044444444444,1.0384995317380192,0.031046946998196864,0.9878988103439112
