seed,objective,max_standardized_mean_difference,max_theme_TV,max_model_exposure_deviation,MostPop_HA_gap,BPR_HA_gap
20332116,0.27973591802508985,0.025490320530144932,0.03912175648702594,0.065187654254802,0.13025105839890064,0.09035473615715095
20331885,0.28017547281428634,0.016131808643154236,0.036007984031936134,0.07001056270774264,-0.014517172775516165,-0.034505030288103936
20331837,0.28064199790150945,0.016347163657499893,0.03356836064419143,0.0713140977592408,-0.08556115770837562,-0.01973469311182471
20331788,0.2844451904975404,0.014766443266627021,0.03884766312815851,0.07046908417955855,-0.07158351034815316,-0.04047551363054593
20331776,0.31109779313921593,0.024860030805487137,0.03548296031280885,0.07767110728817184,-0.11754546167928578,-0.046087492993956425
20331756,0.33562987936962074,0.018103557653088614,0.04083252941665765,0.08542584253051522,0.08825398012885259,-0.10627815227880176
20332016,0.34247695787820753,0.018094014901696594,0.041954704673361244,0.08715029532215635,0.0864939626509213,0.08422185564201162
20331731,0.34547710273448307,0.027903422303562082,0.03692465619614993,0.0873955653788987,-0.16591256709621294,-0.07289033409436461
20331723,0.34912041813253336,0.03335801856582501,0.03992015968063872,0.08529405334858342,0.1647888549810598,-0.01662094816767677
20331972,0.3535875643737487,0.017597622555023854,0.03932836227592715,0.09233246613494472,0.07459709852774152,-0.07355117709738761
20331877,0.3624321483185609,0.018876318198396875,0.041950791057195846,0.09354321451145675,0.11264966520677334,0.1808774328046428
20332217,0.3695425395957389,0.017279644024949428,0.03409181636726548,0.10037505700663041,0.11337528001397866,-0.03414823891708256
20331935,0.37639153783387824,0.029082307066081316,0.040718562874251504,0.09541046215213989,0.09108188907483983,0.14792443199320837
20332081,0.38408341647611505,0.012572138608415415,0.03361277445109781,0.10703070539701764,0.002325732269931132,0.13469658006197335
20332029,0.3845827662190652,0.021674860932493507,0.03972277702299376,0.10110791325069368,0.03571254187343035,-0.11946237613478301
20331829,0.38886626127035034,0.013158473178267793,0.035647389557464985,0.10741223458529503,-0.14546393046694855,0.15649570832909887
20331931,0.3913219865167403,0.02096741651486126,0.04155517163023466,0.10267393751884235,0.1429009233463849,-0.13902260034161265
20331927,0.40395235064019425,0.013442231949588417,0.042905228980009,0.10871742507353077,0.07993476381441102,-0.08850937628832745
